Analytes,TargetFullName_y,Target_y,UniProt_y,EntrezGeneID_y,EntrezGeneSymbol_y,AD_Estimate,AD_pvalue,AD_FDR,PD_Estimate,PD_pvalue,PD_FDR,FTD_Estimate,FTD_pvalue,FTD_FDR,DLB_Estimate,DLB_pvalue,DLB_FDR
X10000.28,Beta-crystallin B2,CRBB2,P43320,1415,CRYBB2,0.117392205180904,0.0110360990248588,0.0741011242451648,-0.0555297126204702,0.263018591437672,0.433898585175705,0.0171319462869004,0.910908054390858,0.981309231266982,0.153222245622288,0.10854763716249,0.498295234472104
X10001.7,RAF proto-oncogene serine/threonine-protein kinase,c-Raf,P04049,5894,RAF1,-0.000976425770419028,0.980993342031494,0.992560951118236,-0.0345328021247278,0.416158054703042,0.583599542809934,0.0366782885438742,0.795915671757097,0.957853341220244,-0.166571270840081,0.0469795349454901,0.336652697814375
X10003.15,Zinc finger protein 41,ZNF41,P51814,7592,ZNF41,0.0638878200875426,0.162010741740494,0.393531239220383,-0.104403667565702,0.0298860218406279,0.0953437693389805,0.034366692035438,0.815788753883433,0.963532879519767,-0.0833637083248245,0.369185119256081,0.788796285153498
X10006.25,ETS domain-containing protein Elk-1,ELK1,P19419,2002,ELK1,-0.0169603537410415,0.715317709399163,0.862335617016807,0.0436040017291022,0.392203586542104,0.561038005648235,0.311369119249147,0.0424968231108024,0.606906816438026,0.00949879531134087,0.920128812773063,0.980170167105702
X10010.10,Beclin-1,BECN1,Q14457,8678,BECN1,-0.0792518157951775,0.0742224320234968,0.243973934517036,-0.13145859740488,0.0053677533503143,0.0263484916122455,0.0282901931828893,0.847022178775726,0.972757784663867,-0.12366383642928,0.174564760559792,0.60996674054975
X10011.65,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,4952,OCRL,0.0270950457197651,0.513957425124772,0.736803051025194,0.133737005994757,0.00256989019544704,0.0149993502838503,0.108999892557866,0.445460192239128,0.85800104453422,0.0239597310356411,0.781197873546076,0.9446146322326
X10012.5,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,25803,SPDEF,0.0705983059058482,0.0120441004373162,0.0782452031360356,0.107189749877925,0.000252280148743174,0.0022433579310177,0.107621776871731,0.235460076111024,0.765579920743458,-0.0314140788267829,0.570376528536413,0.886316932064292
X10015.119,Voltage-gated potassium channel subunit beta-2,KCAB2,Q13303,8514,KCNAB2,0.117684553977801,0.0096590767271081,0.0670352100168101,0.00720137229666141,0.876530649415312,0.929572712790845,0.224928974884922,0.129793187602426,0.704040780341609,0.1024506285962,0.263567623091644,0.7080254206152
X10022.207,DNA polymerase eta,POLH,Q9Y253,5429,POLH,-0.0886985647268791,0.0461914230199624,0.183295334470205,-0.0995505251852317,0.0355464449936151,0.107781258408818,0.119979005364323,0.422115123521277,0.849317171515755,-0.0234725339176943,0.799036577170222,0.947971094597694
X10025.1,"Dihydrolipoyl dehydrogenase, mitochondrial",DLDH,P09622,1738,DLD,0.18103728432643,4.27343021269665e-05,0.00113391780784284,-0.108035199320261,0.0211364653812852,0.0736571210404522,0.00964777562021522,0.946305389849396,0.987086581331734,-0.125037771669725,0.171893643381696,0.606030577280079
X10030.8,Adenine DNA glycosylase,MutY homolog,Q9UIF7,4595,MUTYH,-0.0793909877961088,0.0759211592784426,0.246766698438661,-0.140281424891901,0.00293355123503222,0.016665496999018,-0.0201025318192645,0.89057920088036,0.980964364069899,-0.247642703206609,0.00663420996753178,0.1049452135095
X10036.201,Zinc fingers and homeoboxes protein 3,ZHX3,Q9H4I2,23051,ZHX3,-0.0612829328299336,0.134321064261732,0.351466509967693,0.190522945623148,1.23924629515025e-05,0.000167780743279871,0.180968446385961,0.170318746593571,0.72857459653861,0.168940621097889,0.0386539411254967,0.304031653590662
X10039.32,Purine nucleoside phosphorylase,PNP,P00491,4860,PNP,-0.046277788792389,0.0539434779991056,0.201472334166247,-0.0849306315251552,0.00150154695057784,0.00976448888038171,-0.0188776119192559,0.814441308297039,0.963532879519767,-0.106558388723763,0.032594144048167,0.280768591559634
X10045.47,Cullin-3,CUL3,Q13618,8452,CUL3,0.0951124060017594,0.016347251757209,0.0959529829311031,-0.0652683437945451,0.103482651388196,0.229202104499433,0.0977903509653849,0.451178048685435,0.859305145285318,0.0678615579347844,0.394194584147776,0.803029813324825
X10046.55,Baculoviral IAP repeat-containing protein 2,cIAP-1,Q13490,329,BIRC2,-0.252830280803136,1.92404084333359e-07,1.18805026653318e-05,-0.0377816319053277,0.474138945345678,0.635743376724247,-0.251171597714873,0.154819284715636,0.726597217974493,0.0133522128487454,0.899226965151442,0.974605078536019
X10048.7,Core-binding factor subunit beta,PEBB,Q13951,865,CBFB,0.0675574015962325,0.127929526404171,0.341369297638271,0.212601494905901,1.35350690163104e-05,0.000182130755582001,-0.264527635890663,0.0685785751969293,0.65287989384166,0.140094101079231,0.125934485678388,0.532818489954033
X10049.112,Telomeric repeat-binding factor 1,TERF1,P54274,7013,TERF1,-0.042120744628257,0.358836152132541,0.609754238868489,-0.106120597489497,0.0307336876316125,0.097518615890208,0.034285783857158,0.817479580245537,0.96430627209324,-0.300547078854951,0.00106636472482279,0.0338724602735779
X10063.10,E3 ubiquitin-protein ligase FANCL,FANCL,Q9NW38,55120,FANCL,-0.103576079931926,0.0258785924781368,0.128556286092518,-0.0719549543897367,0.156531496779696,0.307067576966583,-0.13849164737521,0.383882485883776,0.833319724648162,-0.16140179913827,0.100756684592477,0.482041575019909
X10064.12,Putative hydrolase RBBP9,RBBP9,O75884,10741,RBBP9,0.0110439121500582,0.806719600282341,0.912045927287035,0.135647048953656,0.00683457872483094,0.031644051601232,0.0875922770026894,0.553724916988169,0.894442026735178,0.213034908861641,0.0224109269022871,0.231363387160835
